年份,地区,地区·代码,灌溉面积电 kha,农用化肥施用量 万t,"农用柴油
使用量
(吨)","农药
使用量
(吨)","农用塑料
薄膜
使用量
(吨)",粮食作物面积 kha,农作物面积kha,粮食作物产量 吨,粮食单产 吨/公顷,粮食作物占比,人均粮食产量 kg/人,农业产值 亿元,农民人均年收入,碳排放总量 10*3t,碳排放强度
2023,丽水市,11.0,18.3016666666667,4.63,7646.0,1985.0,3826.0,73.75,141.77,433855.0,5.88277966101695,0.520208788883403,171.619857594937,119.03,30811.0,418.749789381667,2.95372638344972
2022,丽水市,11.0,15.2716666666667,4.74,7712.0,2061.0,3880.0,73.62,138.91,413060.0,5.6107036131486,0.529983442516737,164.238568588469,112.35,28470.0,415.565637501667,2.99161786409666
2021,丽水市,11.0,16.1683333333333,4.91,7818.46,2131.25,3882.79,73.035176,137.45,417699.035661054,5.71914875184328,0.531358137504547,166.14917886279,106.98,26386.0,412.043219351333,2.99776805639384
2020,丽水市,11.0,15.735,5.0,8815.0,2217.0,4053.0,72.88,138.67,374977.0,5.1451289791438,0.525564289319968,149.512360446571,101.15,23637.0,417.563237351,3.01120096164275
2019,丽水市,11.0,15.735,5.14,9033.0,2321.0,4406.0,70.48,137.21,361992.0,5.1360953461975,0.513665184753298,163.575237234523,101.24,21931.0,413.948064495,3.01689428245026
2018,丽水市,11.0,15.8083333333333,5.57,9599.0,2565.0,4445.0,69.18,135.8,358478.0,5.18181555362822,0.509425625920471,163.018644838563,97.68,19922.0,416.826029740333,3.06941111738095
2017,丽水市,11.0,15.6066666666667,5.76,9873.0,2686.0,4524.0,67.92,134.95,340294.0,5.01021790341578,0.503297517599111,155.669716376944,95.53,18072.0,431.157974762667,3.19494608938619
2016,丽水市,11.0,16.305,5.72,10306.0,2791.0,4691.0,84.53,159.15,458585.0,5.42511534366497,0.531134150172793,211.817551963048,98.6,16459.0,436.085944273,2.74009390055294
2015,丽水市,11.0,16.365,6.05,10435.0,2887.0,4752.0,88.78,163.12,477957.0,5.38361117368777,0.544261893084846,223.448807854137,95.02,15000.0,454.194927584,2.78442206709171
2014,丽水市,11.0,15.7933333333333,6.2321,10760.0,2957.0,4770.0,89.46,164.29,493688.0,5.51853342275878,0.544524925436728,231.669638667292,92.51,13635.0,461.231620783333,2.80742358502242
2013,丽水市,11.0,15.345,6.2532,10828.0,3062.0,4730.0,96.86,169.69,522764.0,5.39710922981623,0.570805586658024,246.35438265787,84.79,10024.0,476.531885568,2.80824966449408
2012,丽水市,11.0,15.345,6.1678,10440.0,3131.0,4695.0,97.33,170.71,523670.0,5.38035549162643,0.570148204557437,247.364194615021,79.6,8855.0,477.687389825,2.79823905936969
2011,丽水市,11.0,13.4,6.171,9778.0,3113.0,4633.0,99.13,172.67,528989.0,5.33631594875416,0.57410088608328,249.994801512287,72.82,7809.0,476.324839047,2.75858480944576
2010,丽水市,11.0,13.28,6.2137,9430.0,3122.0,5145.0,102.26,176.86,531398.0,5.19653823586935,0.578197444306231,250.896128423041,64.96,6537.0,483.182965658,2.73200817402465
2009,丽水市,11.0,13.28,6.1663,9044.0,3114.0,5191.0,110.24,183.81,563748.0,5.11382438316401,0.59974974158098,263.964039893243,61.55,5703.0,493.26044147,2.683534309722
2008,丽水市,11.0,13.25,6.0926,9750.0,3079.0,5386.0,122.23,192.09,622822.0,5.09549210504786,0.636316310062991,290.739426757539,56.41,5050.0,520.929995449,2.71190585376126
2007,丽水市,11.0,12.38,5.9662,9420.0,2858.0,5274.0,109.292,189.003,546221.0,4.99781319767229,0.578255371607858,254.269155572107,52.0234,4373.0,541.235246295,2.86363309733179
2006,丽水市,11.0,14.42,5.6846,9056.0,3318.0,4869.0,111.84,192.74,548122.0,4.90094778254649,0.580263567500259,254.136683976261,48.5,3868.0,452.801596669,2.34928710526616
2005,丽水市,11.0,13.45,5.7091,8786.0,2910.0,4074.0,113.09,195.43,549166.0,4.85600848881422,0.578672670521414,253.621207223018,46.33,3572.0,449.770135168,2.30143854663051
2004,丽水市,11.0,13.28,5.6787,9771.0,2845.0,6414.5,115.52,196.29,554348.0,4.7987188365651,0.588516990167609,221.155349876327,44.41,3321.0,461.601157413,2.35162849565948
2003,丽水市,11.0,13.5,5.6307,7448.0,2949.0,3753.0,100.38,187.32,481480.0,4.79657302251444,0.535874439461883,193.055332798717,42.03,3047.0,431.388935074,2.30295182080931
2002,丽水市,11.0,13.45,6.2517,5614.0,3389.0,3394.0,115.96,197.99,566200.0,4.88271817868231,0.585686145764938,227.134146341463,41.17,2920.0,457.650781683,2.3114843258902
2001,丽水市,11.0,13.44,5.6525,5350.0,3421.0,3060.0,124.8,202.55,615237.0,4.92978365384615,0.616144161935325,247.351344831745,40.6,2740.0,605.674127996,2.99024501602567
2000,丽水市,11.0,13.7,5.486,6316.0,3514.0,3724.0,152.42,211.64,699762.0,4.59101167825745,0.72018522018522,281.503741250302,27.62,2227.0,587.769304151,2.77721273932621
2023,台州市,10.0,124.91,7.65,436086.0,2522.0,11522.0,89.31,205.92,575892.0,6.44823647967753,0.433712121212121,85.800357568534,196.82,40153.0,913.31763031,4.43530317749611
2022,台州市,10.0,122.44,7.67,451336.0,2552.0,11786.0,88.96,203.53,566699.0,6.37026753597122,0.43708544194959,84.8605870020964,193.23,37700.0,919.50937734,4.51780758286248
2021,台州市,10.0,124.69,7.75,479475.15,2600.43,10814.54,87.7198370762907,203.71,559968.647326234,6.383603367152,0.430611344932947,84.0667538396988,183.0,35419.0,929.644147958,4.5635665797359
2020,台州市,10.0,127.6,8.04,607964.0,2623.0,11895.0,85.5,200.34,520867.0,6.09201169590643,0.426774483378257,78.5977063527992,171.29,32188.0,996.65707995,4.9748281918239
2019,台州市,10.0,123.31,8.62,591902.0,2727.0,10404.0,82.58,201.42,502482.0,6.08479050617583,0.409989077549399,81.7043902439024,164.23,30221.0,972.48662641,4.82815324401748
2018,台州市,10.0,125.13,8.88,636557.0,2788.0,10313.0,82.03,199.18,510838.0,6.22745337071803,0.411838538005824,83.2119237660857,155.4,27631.0,996.39359033,5.00247811190883
2017,台州市,10.0,125.05,9.01,658892.0,3053.0,10162.0,82.5,197.1,498439.0,6.04168484848485,0.418569254185693,81.4709055246813,149.68,25369.0,1005.84143075,5.10320360603755
2016,台州市,10.0,124.74,8.77,667600.0,3106.0,9584.0,97.28,211.04,630737.0,6.48372738486842,0.46095526914329,103.739638157895,148.14,23164.0,1000.86687459,4.74254584244693
2015,台州市,10.0,125.96,8.82,668007.0,4189.0,9387.0,96.35,206.81,607539.0,6.30554229372081,0.465886562545331,100.436270457927,138.04,21225.0,995.61771576,4.81416621904163
2014,台州市,10.0,125.96,8.9528,648731.0,4336.0,9210.0,96.1,203.6,602159.0,6.26596253902185,0.472003929273084,100.109559434746,133.62,19362.0,983.46821931,4.83039400446955
